GO Term	Description	P-value	FDR q-value	Enrichment	N	B	n	b	Genes
GO:2000113	negative regulation of cellular macromolecule biosynthetic process	9.92E-7	1.44E-2	1.42	13480	1110	1428	167	[ITM2C, BRD7, PAWR, PAX5, ZNF175, TNRC6A, UHRF1, HEXIM1, HSBP1, SET, XRN1, NCOR1, TRIM28, BCOR, NCOR2, TRPS1, ZFP36L2, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, SIN3B, ZNF256, TBL1XR1, FOXO6, RNF139, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, ATG7, SPEN, FXR2, ATXN1, SNCA, PTCH1, YTHDF2, BCLAF1, TP53, EGR1, EIF4A3, MXI1, FZD8, POU4F1, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, C1QBP, SMARCC2, ZBTB24, SOX6, PDCD4, E2F1, C11orf95, TIMELESS, PTPN2, SARS, TCF3, DAB2, ZNF217, BTRC, EIF3E, HDAC1, PKIG, CDK2, MAGED1, PURA, PURB, ZNF423, AEBP1, HES7, NONO, VPRBP, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, MOSPD1, TNRC6B, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, XRCC6, BACH2, CUX1, AGO2, JAZF1, ACD, FOXP2, QARS, GIGYF2, SEMA4D, ATXN1L, CDAN1, NELFCD, CPEB3, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, RPL13A, NCK2, PPM1F, MZF1, CPEB4, HNRNPU, EPC1, MORF4L2, ZNF12, PRG3, ETS2, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, HNRNPA1, RBM4, ARHGAP35, GNB2L1, DNMT3A, DNMT3B, HNRNPD, H2AFV, EIF2AK4, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, CIRBP, FOXP1, YY1, TCEAL1, MAF]
GO:0051252	regulation of RNA metabolic process	2.87E-6	2.09E-2	1.21	13480	3123	1428	401	[ELL, PRDX6, FSBP, WTAP, HNRNPA0, PNN, NCOR1, KPNA6, NCOR2, ZNF529, RNF14, CNOT11, YWHAQ, ASCC3, NRIP1, ZNF410, SOX4, H2AFY, PLSCR1, PAPOLA, EHMT2, SON, LIMS1, CREBL2, SUB1, MORF4L1, SNAI3, DDX58, ZNF511, FXR2, SNCA, YTHDF2, GLO1, SNRPA, POU4F1, FZD8, SMARCE1, GCLC, NFE4, PRR5L, ZGPAT, SMARCC1, SMARCA4, RHOXF1, SMARCC2, SOX6, ZBTB8A, RBM38, PHF17, POLA1, MAGED1, HNRNPUL1, PRKAA1, AEBP1, HES7, ZNF580, ASCC2, KDM2B, ZNF501, FAF1, HIVEP3, INSIG2, PPP3R1, ATF7IP, AIM2, LRIF1, MBNL3, XRCC6, BACH2, CUX1, CPSF6, GPBP1L1, RPAP2, MED21, MED10, KIT, KARS, MYSM1, STAT1, JUND, JUP, ATF7, SSRP1, ZNF496, PRKD2, MAP2K3, SRPK2, ZNF709, HMGN3, MAPK1, PRKDC, HAVCR2, PRKD1, PRKCI, ZNF639, ZNF618, SRI, ZBED3, UBE2O, PRKAR1A, NCOA4, TCEAL1, APEX1, ZSCAN9, PAWR, ARHGEF10L, PAX5, ZNF175, SREK1, SET, ZBTB17, ZNF165, ZNF157, VEZF1, PBXIP1, ZNF521, APBB2, KMT2A, CHP1, TBL1XR1, ZNF135, PBRM1, GTF3A, ZBTB38, ZNF80, NOLC1, MLF1IP, DPPA4, BBS7, DDX20, FASLG, MSI2, CCPG1, H3F3A, ZMYM5, C9orf40, ZNF512B, MDK, ATXN1, ARID1B, WDHD1, ZBED1, L3MBTL1, MEIS1, LRP8, H3F3B, HEATR1, SARS, DAB2, ZNF217, ZNF225, HDAC1, PKIG, ZNF207, CXXC5, SLC9A1, PDLIM1, WNT10B, DOM3Z, MTA1, ZNF581, MLXIP, ZNF367, SKIL, PF4, NELFA, MKL1, GIGYF2, NELFCD, AUTS2, CPEB3, ATP2B4, DTX1, TSHZ3, PUF60, ITCH, DLG1, ZFAT, MZF1, ASXL1, ZNF12, TFEC, ZNF26, PKNOX1, ZNF23, SFPQ, PHF10, SRRT, ARHGAP35, ZNF711, DNMT3A, SRSF5, DNMT3B, SRSF6, EPCAM, EIF2AK4, BCL7A, PHB2, ZBTB26, YY1, MAF, IL18R1, EXOSC5, BRD7, TRAK1, UHRF1, WHSC1L1, HSBP1, RALY, HNRNPM, ELL2, BCOR, TRIM28, SSU72, TRPS1, ZFP36L2, BTG1, ZNF256, FOXO6, ALYREF, RNF41, ELF2, TCF25, FAM46C, TRIM8, KAT2B, TSC22D1, SPEN, EEF1D, ZNF362, ZNF561, EGR1, TP53, MXI1, RNASEL, MYCN, CREB3L4, ZNF627, TRAK2, C1QBP, HSPD1, BNC2, E2F1, C11orf95, TIMELESS, BCL10, HSPB1, LRPPRC, ZNF611, BTRC, FSTL3, ZNF738, TRIM44, ZNF423, USF2, USF1, HMGB1, COMMD7, DYNLL1, HLF, DAZAP1, TNRC6B, ZBTB10, SRA1, ZSCAN18, VEGFA, PINK1, ETV6, SEMA4D, CKAP2, ATXN1L, ZNF770, CCNL1, HINT1, L3MBTL4, RTF1, TRADD, HOXA11, EREG, RNF10, COMMD5, HNRNPU, RIPK1, CRADD, ETS2, HOXA9, HOXA10, CBFB, PABPC4, HNRNPA1, USP15, HNRNPD, ZNF493, RUNX1, UBE2I, HNRNPDL, RSC1A1, RBX1, IL18, PAIP1, ZNF34, RBM15, HEXIM1, RBCK1, RBMX, CAMTA1, XRN1, RNF141, CD74, PSEN1, CREB3L2, ILF3, PRPF19, FOXO3, CD81, SIN3B, KHDRBS3, CBX4, EAPP, RGS14, TERF2IP, TAF11, SERTAD2, TAF4B, BATF, ROR1, PTBP1, PTCH1, BCLAF1, USP22, TARBP1, NMD3, NPM1, INSR, ZBTB24, THAP4, PDCD4, ZNF395, PTPN2, TCF3, IRF4, TCF4, JHDM1D, TOE1, CDK2, TCEA2, ZNF827, PURA, NRBF2, PURB, VPRBP, NONO, ZNF274, STRN3, RYBP, NME2, TLE1, AFF4, HIST2H2AA3, NPAS2, MOSPD1, HDAC4, NFRKB, CHD4, ZSCAN25, NFKBIA, JAZF1, AGO2, SLC40A1, FOXP2, QARS, PARP14, SART3, ZNF460, TMBIM6, SUZ12, NCK2, MICAL2, PPM1F, EPC1, RBM26, MORF4L2, NFE2, TGS1, CELF2, RARA, CLK3, YLPM1, RBBP7, RBM4, H2AFV, RBBP5, ELL3, SND1, KDM4A, RBBP4, ZNF281, CIRBP, FOXP1, ZNF432, LPIN2]
GO:0010558	negative regulation of macromolecule biosynthetic process	3.66E-6	1.77E-2	1.38	13480	1166	1428	171	[APEX1, ITM2C, BRD7, PAWR, PAX5, ZNF175, TNRC6A, UHRF1, HEXIM1, HSBP1, SET, XRN1, NCOR1, TRIM28, BCOR, NCOR2, TRPS1, ZFP36L2, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, SIN3B, ZNF256, TBL1XR1, FOXO6, RNF139, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, ATG7, SPEN, FXR2, ATXN1, SNCA, PTCH1, YTHDF2, BCLAF1, EGR1, TP53, EIF4A3, MXI1, POU4F1, FZD8, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, C1QBP, SMARCC2, ZBTB24, SOX6, PDCD4, E2F1, TIMELESS, C11orf95, PTPN2, SARS, TCF3, DAB2, ZNF217, BTRC, EIF3E, HDAC1, PKIG, CDK2, MAGED1, PURA, PURB, ZNF423, AEBP1, HES7, VPRBP, NONO, ZNF274, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, MOSPD1, TNRC6B, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, PF4, BACH2, XRCC6, CUX1, AGO2, JAZF1, ACD, FOXP2, QARS, GIGYF2, SEMA4D, ATXN1L, NELFCD, CDAN1, CPEB3, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, RPL13A, NCK2, PPM1F, MZF1, CPEB4, HNRNPU, EPC1, MORF4L2, ZNF12, PRG3, ETS2, TFEC, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, HNRNPA1, RBM4, ARHGAP35, GNB2L1, DNMT3A, DNMT3B, HNRNPD, H2AFV, EIF2AK4, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, CIRBP, FOXP1, YY1, TCEAL1, MAF]
GO:0045892	negative regulation of transcription, DNA-templated	4.41E-6	1.6E-2	1.43	13480	944	1428	143	[BRD7, PAWR, PAX5, ZNF175, UHRF1, HEXIM1, HSBP1, NCOR1, SET, TRIM28, BCOR, NCOR2, TRPS1, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, SIN3B, ZNF256, TBL1XR1, FOXO6, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, SPEN, SNCA, ATXN1, PTCH1, BCLAF1, EGR1, TP53, MXI1, FZD8, POU4F1, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, C1QBP, SMARCC2, ZBTB24, SOX6, PDCD4, E2F1, TIMELESS, C11orf95, PTPN2, SARS, TCF3, ZNF217, DAB2, BTRC, HDAC1, PKIG, CDK2, MAGED1, PURA, PURB, ZNF423, AEBP1, HES7, VPRBP, NONO, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, MOSPD1, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, XRCC6, BACH2, CUX1, JAZF1, FOXP2, QARS, SEMA4D, ATXN1L, NELFCD, CPEB3, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, NCK2, PPM1F, MZF1, HNRNPU, EPC1, MORF4L2, ZNF12, ETS2, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, ARHGAP35, DNMT3A, DNMT3B, H2AFV, BCL7A, KDM4A, RUNX1, PHB2, ZNF281, UBE2I, ZNF639, FOXP1, YY1, TCEAL1, MAF]
GO:0031327	negative regulation of cellular biosynthetic process	4.61E-6	1.34E-2	1.37	13480	1203	1428	175	[APEX1, ITM2C, BRD7, PAWR, PAX5, ZNF175, TNRC6A, UHRF1, HEXIM1, HSBP1, SET, XRN1, NCOR1, TRIM28, BCOR, NCOR2, TRPS1, ZFP36L2, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, LEPR, SIN3B, ZNF256, TBL1XR1, FOXO6, RNF139, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, ATG7, SPEN, FXR2, ATXN1, SNCA, PTCH1, YTHDF2, BCLAF1, TP53, EGR1, EIF4A3, MXI1, POU4F1, FZD8, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, SMARCC2, C1QBP, ZBTB24, SOX6, PDCD4, E2F1, C11orf95, TIMELESS, PTPN2, SARS, TCF3, DAB2, ZNF217, BTRC, EIF3E, HDAC1, PKIG, CDK2, MAGED1, PRKAA1, PURA, PURB, ZNF423, HES7, AEBP1, NONO, VPRBP, ZNF274, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, INSIG2, MOSPD1, TNRC6B, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, BACH2, XRCC6, CUX1, AGO2, JAZF1, ACD, FOXP2, QARS, GIGYF2, SEMA4D, ATXN1L, NELFCD, CDAN1, CPEB3, ATP2B4, PFKFB1, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, RPL13A, NCK2, PPM1F, MZF1, CPEB4, HNRNPU, EPC1, MORF4L2, ZNF12, PRG3, ETS2, TFEC, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, HNRNPA1, RBM4, ARHGAP35, GNB2L1, DNMT3A, DNMT3B, HNRNPD, H2AFV, EIF2AK4, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, CIRBP, FOXP1, YY1, TCEAL1, MAF]
GO:0009890	negative regulation of biosynthetic process	5.28E-6	1.28E-2	1.37	13480	1222	1428	177	[APEX1, ITM2C, BRD7, PAWR, PAX5, ZNF175, TNRC6A, UHRF1, HEXIM1, HSBP1, SET, XRN1, NCOR1, TRIM28, BCOR, NCOR2, TRPS1, ZFP36L2, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, LEPR, SIN3B, ZNF256, TBL1XR1, FOXO6, RNF139, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, ATG7, SPEN, FXR2, ATXN1, SNCA, PTCH1, YTHDF2, BCLAF1, TP53, EGR1, EIF4A3, MXI1, FZD8, POU4F1, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, SMARCC2, C1QBP, ZBTB24, SOX6, PDCD4, E2F1, C11orf95, TIMELESS, PTPN2, SARS, TCF3, DAB2, ZNF217, BTRC, EIF3E, HDAC1, PKIG, CDK2, TRAP1, MAGED1, PRKAA1, PURA, PURB, ZNF423, HES7, AEBP1, NONO, VPRBP, ZNF274, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, INSIG2, MOSPD1, TNRC6B, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, PF4, BACH2, XRCC6, CUX1, AGO2, JAZF1, ACD, FOXP2, QARS, GIGYF2, SEMA4D, ATXN1L, CDAN1, NELFCD, CPEB3, ATP2B4, PFKFB1, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, RPL13A, NCK2, PPM1F, MZF1, CPEB4, HNRNPU, EPC1, MORF4L2, ZNF12, PRG3, ETS2, TFEC, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, HNRNPA1, RBM4, ARHGAP35, GNB2L1, DNMT3A, DNMT3B, HNRNPD, H2AFV, EIF2AK4, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, CIRBP, FOXP1, YY1, TCEAL1, MAF]
GO:0019219	regulation of nucleobase-containing compound metabolic process	5.77E-6	1.2E-2	1.20	13480	3339	1428	423	[ELL, PRDX6, FSBP, WTAP, HNRNPA0, PNN, NCOR1, KPNA6, NCOR2, ZNF529, RNF14, CNOT11, YWHAQ, ASCC3, NRIP1, ZNF410, SOX4, H2AFY, PAPOLA, PLSCR1, EHMT2, SON, LIMS1, CREBL2, SUB1, MORF4L1, DDX58, SNAI3, ZNF511, FXR2, SNCA, YTHDF2, GLO1, SNRPA, POU4F1, FZD8, SMARCE1, GCLC, NFE4, PRR5L, ZGPAT, SMARCC1, SMARCA4, RHOXF1, SMARCC2, SOX6, ZBTB8A, RBM38, PHF17, POLA1, MAGED1, HNRNPUL1, PRKAA1, AEBP1, HES7, ZNF580, ASCC2, KDM2B, ZNF501, FAF1, HIVEP3, INSIG2, PPP3R1, ATF7IP, AIM2, LRIF1, MBNL3, XRCC6, BACH2, CUX1, CPSF6, KPNA1, GPBP1L1, RPAP2, MED21, MED10, KIT, KARS, MYSM1, STAT1, JUND, JUP, ATF7, SSRP1, SLC25A33, ZNF496, PRKD2, MAP2K3, TRIP12, SRPK2, ZNF709, HMGN3, MAPK1, PRKDC, HAVCR2, PRKD1, PRKCI, ZNF639, ZBED3, ZNF618, SRI, UBE2O, PRKAR1A, TCEAL1, NCOA4, PKIB, APEX1, ZSCAN9, PAWR, ARHGEF10L, PAX5, ZNF175, SREK1, SET, MAP2K4, ZBTB17, ZNF165, ZNF157, VEZF1, PBXIP1, GSTZ1, ZNF521, APBB2, KMT2A, CHP1, TBL1XR1, ZNF135, PBRM1, GTF3A, ZBTB38, ZNF80, NOLC1, GZMA, MLF1IP, DPPA4, BBS7, DDX20, FASLG, MSI2, CCPG1, ZMYM5, H3F3A, C9orf40, ZNF512B, MDK, ATXN1, ME1, ARID1B, ZBED1, WDHD1, L3MBTL1, MEIS1, LRP8, H3F3B, HEATR1, SARS, DAB2, ZNF217, ZNF225, HDAC1, PKIG, ZNF207, CXXC5, SLC9A1, PDLIM1, WNT10B, DOM3Z, MTA1, ZNF581, MLXIP, ZNF367, ATP7A, SKIL, PF4, NELFA, MKL1, GIGYF2, NELFCD, CDAN1, AUTS2, CPEB3, ATP2B4, PFKFB1, DTX1, TSHZ3, ITCH, PUF60, DLG1, ZFAT, MZF1, ASXL1, ZNF12, TFEC, ZNF26, PKNOX1, ZNF23, SFPQ, PHF10, SRRT, ARHGAP35, ZNF711, DNMT3A, SRSF5, DNMT3B, SRSF6, EPCAM, EIF2AK4, BCL7A, PHB2, ZBTB26, YY1, MAF, IL18R1, RFC5, EXOSC5, BRD7, TRAK1, UHRF1, WHSC1L1, HSBP1, RALY, HNRNPM, ELL2, WRNIP1, TRIM28, BCOR, SSU72, TRPS1, ZFP36L2, BTG1, NBN, ZNF256, FOXO6, ALYREF, RNF41, ELF2, TCF25, FAM46C, TRIM8, KAT2B, TSC22D1, SPEN, EEF1D, ZNF362, ZNF561, EGR1, TP53, MXI1, RNASEL, MYCN, CREB3L4, ZNF627, TRAK2, C1QBP, HSPD1, BNC2, E2F1, C11orf95, TIMELESS, BCL10, HSPB1, ZNF611, LRPPRC, BTRC, FSTL3, ZNF738, TRIM44, ZNF423, USF2, USF1, HMGB1, C20orf196, COMMD7, DYNLL1, DAZAP1, HLF, TNRC6B, ZBTB10, SRA1, ZSCAN18, VEGFA, PINK1, ETV6, ACD, SEMA4D, CKAP2, ATXN1L, ZNF770, CCNL1, HINT1, L3MBTL4, RTF1, TRADD, HOXA11, EREG, RNF10, COMMD5, UBE2B, HNRNPU, RIPK1, CRADD, ETS2, HOXA9, HOXA10, CBFB, PABPC4, HNRNPA1, USP15, HNRNPD, ZNF493, RUNX1, HNRNPDL, UBE2I, RSC1A1, RBX1, ERCC1, IL18, PAIP1, TCP1, ZNF34, RBM15, HEXIM1, RBCK1, RBMX, CAMTA1, XRN1, RNF141, CD74, PSEN1, CREB3L2, PRPF19, ILF3, FOXO3, CD81, SIN3B, KHDRBS3, CBX4, EAPP, RGS14, TERF2IP, TAF11, SERTAD2, ATG7, TAF4B, BATF, ROR1, PTBP1, PTCH1, BCLAF1, USP22, TARBP1, NPM1, NMD3, INSR, ZBTB24, THAP4, PDCD4, CCT4, ZNF395, PTPN2, TCF3, IRF4, TCF4, JHDM1D, TOE1, CDK2, TCEA2, ZNF827, PURA, NRBF2, CACYBP, PURB, VPRBP, NONO, ZNF274, STRN3, RYBP, NME2, TLE1, AFF4, HIST2H2AA3, NPAS2, MOSPD1, HDAC4, CHD4, NFRKB, ZSCAN25, NFKBIA, AGO2, JAZF1, SLC40A1, FOXP2, QARS, PARP14, SART3, ZNF460, TMBIM6, SUZ12, NCK2, MICAL2, PPM1F, EPC1, RBM26, MORF4L2, NFE2, TGS1, CELF2, RARA, CLK3, YLPM1, RBBP7, RBM4, H2AFV, RBBP5, ELL3, SND1, KDM4A, RBBP4, ZNF281, CIRBP, FOXP1, ZNF432, LPIN2]
GO:0051253	negative regulation of RNA metabolic process	6.42E-6	1.17E-2	1.40	13480	1055	1428	156	[APEX1, PAIP1, BRD7, PAWR, PAX5, HNRNPA0, ZNF175, UHRF1, HEXIM1, HSBP1, RBMX, NCOR1, SET, TRIM28, BCOR, NCOR2, TRPS1, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, SIN3B, ZNF256, TBL1XR1, FOXO6, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, FAM46C, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, SPEN, ATXN1, PTBP1, SNCA, PTCH1, BCLAF1, TP53, EGR1, MXI1, FZD8, POU4F1, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, C1QBP, SMARCC2, ZBTB24, SOX6, PDCD4, E2F1, C11orf95, TIMELESS, PTPN2, RBM38, LRPPRC, SARS, TCF3, DAB2, ZNF217, BTRC, HDAC1, PKIG, CDK2, MAGED1, PURA, PURB, ZNF423, AEBP1, HES7, NONO, VPRBP, ZNF274, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, MOSPD1, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, XRCC6, BACH2, CUX1, JAZF1, FOXP2, QARS, SEMA4D, ATXN1L, NELFCD, CPEB3, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, NCK2, PPM1F, MZF1, HNRNPU, EPC1, MORF4L2, ZNF12, ETS2, TFEC, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, ARHGAP35, DNMT3A, SRSF6, DNMT3B, HNRNPD, H2AFV, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, CIRBP, FOXP1, YY1, TCEAL1, MAF]
GO:0045934	negative regulation of nucleobase-containing compound metabolic process	6.59E-6	1.06E-2	1.37	13480	1161	1428	169	[APEX1, PAIP1, BRD7, PAWR, PAX5, HNRNPA0, ZNF175, UHRF1, HEXIM1, HSBP1, RBMX, SET, XRN1, NCOR1, TRIM28, BCOR, NCOR2, TRPS1, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, NBN, ILF3, NRIP1, KMT2A, SIN3B, ZNF256, TBL1XR1, FOXO6, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, GZMA, TCF25, FAM46C, MORF4L1, SNAI3, DDX20, FASLG, TERF2IP, H3F3A, ATG7, SPEN, ATXN1, PTBP1, SNCA, PTCH1, BCLAF1, TP53, EGR1, MXI1, FZD8, POU4F1, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, C1QBP, SMARCC2, ZBTB24, SOX6, PDCD4, E2F1, C11orf95, TIMELESS, PTPN2, RBM38, LRPPRC, SARS, TCF3, DAB2, ZNF217, BTRC, HDAC1, PKIG, CDK2, MAGED1, PURA, PURB, ZNF423, AEBP1, HES7, VPRBP, NONO, ZNF274, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, C20orf196, HIST2H2AA3, COMMD7, MTA1, MOSPD1, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, XRCC6, BACH2, CUX1, JAZF1, ACD, FOXP2, QARS, SEMA4D, ATXN1L, CDAN1, NELFCD, CPEB3, PFKFB1, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, NCK2, PPM1F, MZF1, HNRNPU, EPC1, MORF4L2, ZNF12, ETS2, TFEC, ZNF496, RARA, SFPQ, TRIP12, PHF10, RBBP7, CBFB, HNRNPA1, ARHGAP35, DNMT3A, DNMT3B, SRSF6, HNRNPD, H2AFV, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, CIRBP, FOXP1, ERCC1, YY1, TCEAL1, MAF]
GO:1903507	negative regulation of nucleic acid-templated transcription	7.79E-6	1.13E-2	1.41	13480	978	1428	146	[APEX1, BRD7, PAWR, PAX5, ZNF175, UHRF1, HEXIM1, HSBP1, NCOR1, SET, TRIM28, BCOR, NCOR2, TRPS1, ZNF157, PSEN1, PBXIP1, YWHAQ, FOXO3, ILF3, NRIP1, SIN3B, ZNF256, TBL1XR1, FOXO6, SOX4, ZBTB38, H2AFY, EHMT2, CBX4, LIMS1, EAPP, TCF25, MORF4L1, SNAI3, DDX20, FASLG, H3F3A, SPEN, SNCA, ATXN1, PTCH1, BCLAF1, EGR1, TP53, MXI1, FZD8, POU4F1, L3MBTL1, SMARCE1, GCLC, LRP8, ZGPAT, H3F3B, SMARCA4, C1QBP, SMARCC2, ZBTB24, SOX6, PDCD4, E2F1, C11orf95, TIMELESS, PTPN2, SARS, TCF3, ZNF217, DAB2, BTRC, HDAC1, PKIG, CDK2, MAGED1, PURA, PURB, ZNF423, AEBP1, HES7, NONO, VPRBP, ZNF274, CXXC5, STRN3, RYBP, HMGB1, TLE1, KDM2B, WNT10B, ZNF501, HIST2H2AA3, COMMD7, MTA1, MOSPD1, ATF7IP, HDAC4, VEGFA, ETV6, SKIL, XRCC6, BACH2, CUX1, JAZF1, FOXP2, QARS, SEMA4D, ATXN1L, NELFCD, CPEB3, TMBIM6, TSHZ3, SUZ12, RTF1, DLG1, EREG, STAT1, JUND, NCK2, PPM1F, MZF1, HNRNPU, EPC1, MORF4L2, ZNF12, ETS2, TFEC, ZNF496, RARA, SFPQ, PHF10, RBBP7, CBFB, ARHGAP35, DNMT3A, DNMT3B, H2AFV, BCL7A, KDM4A, PHB2, RUNX1, ZNF281, UBE2I, ZNF639, FOXP1, YY1, TCEAL1, MAF]
